LOP(亮度)	x	y
191.54	90	-263
199.17	91	-263
199.27	92	-263
202.7	93	-263
202.81	94	-263
207.96	95	-263
0	96	-263
191.83	96	-264
208.99	97	-263
189.67	97	-264
212.38	98	-263
197.73	98	-264
0	99	-263
198.63	99	-264
0	100	-263
0	100	-264
0	101	-263
107.08	101	-264
0	102	-263
0	102	-264
0	102	-265
217.03	103	-263
203.66	103	-264
0	103	-265
215.57	104	-263
202.78	104	-264
215.13	105	-263
204.35	105	-264
219.34	106	-263
200.62	106	-264
192.56	106	-265
214.9	107	-263
205.9	107	-264
214.6	108	-263
203.91	108	-264
194.45	108	-265
218.97	109	-263
206.55	109	-264
193.85	109	-265
220.03	110	-263
208.83	110	-264
198.93	110	-265
217.39	111	-263
207.34	111	-264
194.15	111	-265
210.4	112	-263
205.75	112	-264
197.45	112	-265
0	113	-263
196.64	113	-265
217.68	114	-263
207.3	114	-264
197.65	114	-265
218.5	115	-263
211.33	115	-264
198.65	115	-265
223.56	116	-263
209.69	116	-264
219.4	117	-263
0	117	-264
0	117	-265
211.07	118	-263
0	118	-264
0	118	-265
4.45	118	-266
217	119	-263
0	119	-264
0	119	-265
216.91	120	-263
0	120	-264
0	120	-265
222.56	121	-263
0	121	-264
0	121	-265
3.63	121	-266
222.24	122	-263
0	122	-264
236.74	123	-263
0	123	-264
0	123	-265
234.42	124	-263
0	124	-264
0	124	-265
226.74	125	-263
0	125	-264
0	125	-265
0	126	-263
0	126	-264
0	126	-265
0	127	-263
0	127	-264
0	127	-265
0	128	-263
0	128	-264
0	128	-265
220.94	129	-263
0	129	-264
0	129	-265
219.38	130	-263
181.34	130	-264
