LOP(亮度)	x	y
196	90	-266
197	91	-266
197	92	-266
197	93	-266
196	94	-266
195	95	-266
192	96	-266
189	97	-266
186	98	-266
180	99	-266
170	100	-266
165	101	-266
172	102	-266
183	103	-266
190	104	-266
193	105	-266
193	106	-266
195	107	-266
194	108	-266
195	109	-266
196	110	-266
195	111	-266
195	112	-266
194	113	-266
190	114	-266
180	115	-266
151	116	-266
98	117	-266
4.45	118	-266
56	119	-266
55	120	-266
3.63	121	-266
94	122	-266
144	123	-266
172	124	-266
187	125	-266
195	126	-266
198	127	-266
198	128	-266
196	129	-266
193	130	-266
196	90	-265
197	91	-265
198	92	-265
198	93	-265
197	94	-265
196	95	-265
192	96	-265
190	97	-265
189	98	-265
183	99	-265
166	100	-265
152	101	-265
169	102	-265
187	103	-265
194	104	-265
196	105	-265
192.56	106	-265
197	107	-265
194.45	108	-265
193.85	109	-265
198.93	110	-265
194.15	111	-265
197.45	112	-265
196.64	113	-265
197.65	114	-265
198.65	115	-265
175	116	-265
140	117	-265
104	118	-265
108	119	-265
108	120	-265
104	121	-265
136	122	-265
165	123	-265
185	124	-265
195	125	-265
199	126	-265
201	127	-265
200	128	-265
197	129	-265
190	130	-265
195	90	-264
197	91	-264
198	92	-264
199	93	-264
199	94	-264
198	95	-264
191.83	96	-264
189.67	97	-264
197.73	98	-264
198.63	99	-264
160	100	-264
107.08	101	-264
164	102	-264
203.66	103	-264
202.78	104	-264
204.35	105	-264
200.62	106	-264
205.9	107	-264
203.91	108	-264
206.55	109	-264
208.83	110	-264
207.34	111	-264
205.75	112	-264
205	113	-264
207.3	114	-264
211.33	115	-264
209.69	116	-264
183	117	-264
165	118	-264
163	119	-264
164	120	-264
167	121	-264
181	122	-264
197	123	-264
206	124	-264
209	125	-264
207	126	-264
206	127	-264
205	128	-264
201	129	-264
181.34	130	-264
191.54	90	-263
199.17	91	-263
199.27	92	-263
202.7	93	-263
202.81	94	-263
207.96	95	-263
202	96	-263
208.99	97	-263
212.38	98	-263
192	99	-263
167	100	-263
150	101	-263
177	102	-263
217.03	103	-263
215.57	104	-263
215.13	105	-263
219.34	106	-263
214.9	107	-263
214.6	108	-263
218.97	109	-263
220.03	110	-263
217.39	111	-263
210.4	112	-263
211	113	-263
217.68	114	-263
218.5	115	-263
223.56	116	-263
219.4	117	-263
211.07	118	-263
217	119	-263
216.91	120	-263
222.56	121	-263
222.24	122	-263
236.74	123	-263
234.42	124	-263
226.74	125	-263
215	126	-263
211	127	-263
212	128	-263
220.94	129	-263
219.38	130	-263
