LOP(亮度)	x	y
7	0	0
53	1	0
49	2	0
42	3	0
40	4	0
38	5	0
49	6	0
62	7	0
93	8	0
73	9	0
64	10	0
52	11	0
63	12	0
25	13	0
25	14	0
19	15	0
42	16	0
50	17	0
89	18	0
65	19	0
35	20	0
49	21	0
69	22	0
77	23	0
65	24	0
43	25	0
3	26	0
21	27	0
57	28	0
62	29	0
64	30	0
87	31	0
81	32	0
97	33	0
67	34	0
61	35	0
61	36	0
93	37	0
53	38	0
63	39	0
48	40	0
33	41	0
73	42	0
45	43	0
45	44	0
7	45	0
25	46	0
75	47	0
77	48	0
99	49	0
7	50	0
25	51	0
35	52	0
19	53	0
32	54	0
48	55	0
56	56	0
71	57	0
69	58	0
5	59	0
32	60	0
41	61	0
53	62	0
99	63	0
62	64	0
29	65	0
45	66	0
65	67	0
21	68	0
21	69	0
52	70	0
46	71	0
38	72	0
25	73	0
15	74	0
1	75	0
56	76	0
76	77	0
85	78	0
37	79	0
17	80	0
39	81	0
39	82	0
34	83	0
15	84	0
7	85	0
85	86	0
70	87	0
57	88	0
53	89	0
36	90	0
52	91	0
34	92	0
47	93	0
49	94	0
55	95	0
55	96	0
68	97	0
66	98	0
63	99	0
62	100	0
45	0	1
59	1	1
38	2	1
37	3	1
41	4	1
27	5	1
41	6	1
45	7	1
29	8	1
63	9	1
67	10	1
31	11	1
85	12	1
31	13	1
31	14	1
29	15	1
59	16	1
19	17	1
52	18	1
45	19	1
34	20	1
45	21	1
60	22	1
67	23	1
75	24	1
67	25	1
28	26	1
3	27	1
55	28	1
67	29	1
45	30	1
49	31	1
59	32	1
64	33	1
45	34	1
57	35	1
73	36	1
69	37	1
54	38	1
59	39	1
48	40	1
9	41	1
47	42	1
19	43	1
85	44	1
47	45	1
53	46	1
93	47	1
59	48	1
5	49	1
23	50	1
35	51	1
61	52	1
19	53	1
30	54	1
56	55	1
51	56	1
45	57	1
7	58	1
73	59	1
51	60	1
37	61	1
21	62	1
61	63	1
59	64	1
47	65	1
43	66	1
63	67	1
49	68	1
54	69	1
91	70	1
49	71	1
42	72	1
30	73	1
21	74	1
35	75	1
91	76	1
89	77	1
73	78	1
63	79	1
63	80	1
63	81	1
43	82	1
49	83	1
5	84	1
22	85	1
47	86	1
69	87	1
3	88	1
91	89	1
5	90	1
87	91	1
3	92	1
43	93	1
45	94	1
61	95	1
87	96	1
85	97	1
67	98	1
63	99	1
62	100	1
71	0	2
41	1	2
7	2	2
29	3	2
35	4	2
42	5	2
53	6	2
50	7	2
51	8	2
83	9	2
63	10	2
47	11	2
53	12	2
37	13	2
41	14	2
7	15	2
93	16	2
71	17	2
55	18	2
29	19	2
11	20	2
36	21	2
59	22	2
52	23	2
44	24	2
3	25	2
39	26	2
59	27	2
49	28	2
49	29	2
47	30	2
5	31	2
44	32	2
55	33	2
89	34	2
21	35	2
59	36	2
56	37	2
35	38	2
57	39	2
77	40	2
44	41	2
47	42	2
19	43	2
47	44	2
43	45	2
50	46	2
55	47	2
33	48	2
81	49	2
47	50	2
38	51	2
29	52	2
43	53	2
15	54	2
97	55	2
81	56	2
53	57	2
52	58	2
52	59	2
65	60	2
73	61	2
60	62	2
91	63	2
67	64	2
57	65	2
99	66	2
49	67	2
60	68	2
57	69	2
51	70	2
79	71	2
53	72	2
33	73	2
5	74	2
73	75	2
45	76	2
50	77	2
57	78	2
81	79	2
60	80	2
89	81	2
65	82	2
54	83	2
36	84	2
31	85	2
75	86	2
19	87	2
39	88	2
61	89	2
42	90	2
43	91	2
41	92	2
35	93	2
27	94	2
59	95	2
93	96	2
37	97	2
55	98	2
60	99	2
61	100	2
43	0	3
33	1	3
99	2	3
45	3	3
29	4	3
55	5	3
79	6	3
50	7	3
43	8	3
48	9	3
51	10	3
41	11	3
45	12	3
23	13	3
89	14	3
75	15	3
47	16	3
61	17	3
39	18	3
5	19	3
81	20	3
32	21	3
9	22	3
39	23	3
47	24	3
7	25	3
69	26	3
60	27	3
35	28	3
1	29	3
79	30	3
51	31	3
57	32	3
60	33	3
67	34	3
87	35	3
89	36	3
60	37	3
53	38	3
59	39	3
51	40	3
44	41	3
81	42	3
97	43	3
41	44	3
45	45	3
49	46	3
46	47	3
43	48	3
51	49	3
46	50	3
41	51	3
49	52	3
77	53	3
35	54	3
46	55	3
42	56	3
35	57	3
97	58	3
21	59	3
50	60	3
67	61	3
57	62	3
62	63	3
63	64	3
63	65	3
83	66	3
76	67	3
85	68	3
63	69	3
58	70	3
66	71	3
57	72	3
45	73	3
53	74	3
71	75	3
99	76	3
11	77	3
23	78	3
39	79	3
9	80	3
55	81	3
77	82	3
65	83	3
56	84	3
47	85	3
47	86	3
26	87	3
7	88	3
75	89	3
61	90	3
64	91	3
83	92	3
31	93	3
39	94	3
56	95	3
50	96	3
47	97	3
58	98	3
61	99	3
62	100	3
15	0	4
49	1	4
1	2	4
31	3	4
65	4	4
48	5	4
23	6	4
31	7	4
23	8	4
15	9	4
63	10	4
56	11	4
57	12	4
34	13	4
56	14	4
59	15	4
53	16	4
50	17	4
37	18	4
15	19	4
26	20	4
3	21	4
34	22	4
49	23	4
32	24	4
31	25	4
56	26	4
77	27	4
68	28	4
69	29	4
74	30	4
63	31	4
65	32	4
63	33	4
33	34	4
59	35	4
57	36	4
45	37	4
19	38	4
53	39	4
23	40	4
3	41	4
38	42	4
38	43	4
11	44	4
49	45	4
57	46	4
35	47	4
44	48	4
47	49	4
44	50	4
31	51	4
51	52	4
36	53	4
3	54	4
11	55	4
9	56	4
91	57	4
91	58	4
33	59	4
47	60	4
47	61	4
41	62	4
39	63	4
44	64	4
50	65	4
75	66	4
87	67	4
62	68	4
53	69	4
53	70	4
69	71	4
64	72	4
39	73	4
63	74	4
62	75	4
47	76	4
37	77	4
34	78	4
43	79	4
89	80	4
47	81	4
74	82	4
75	83	4
75	84	4
63	85	4
3	86	4
31	87	4
35	88	4
55	89	4
62	90	4
69	91	4
53	92	4
41	93	4
45	94	4
77	95	4
3	96	4
46	97	4
71	98	4
67	99	4
66	100	4
13	0	5
29	1	5
30	2	5
65	3	5
57	4	5
49	5	5
5	6	5
27	7	5
35	8	5
40	9	5
53	10	5
64	11	5
93	12	5
1	13	5
43	14	5
54	15	5
55	16	5
50	17	5
46	18	5
57	19	5
5	20	5
77	21	5
75	22	5
91	23	5
3	24	5
35	25	5
49	26	5
65	27	5
93	28	5
15	29	5
87	30	5
63	31	5
77	32	5
95	33	5
42	34	5
35	35	5
36	36	5
43	37	5
31	38	5
25	39	5
22	40	5
19	41	5
31	42	5
7	43	5
33	44	5
89	45	5
95	46	5
60	47	5
51	48	5
49	49	5
54	50	5
79	51	5
23	52	5
13	53	5
97	54	5
61	55	5
87	56	5
73	57	5
61	58	5
42	59	5
59	60	5
35	61	5
19	62	5
11	63	5
25	64	5
19	65	5
83	66	5
97	67	5
25	68	5
34	69	5
33	70	5
95	71	5
93	72	5
53	73	5
99	74	5
67	75	5
61	76	5
59	77	5
33	78	5
13	79	5
39	80	5
66	81	5
97	82	5
70	83	5
70	84	5
56	85	5
21	86	5
63	87	5
46	88	5
47	89	5
66	90	5
97	91	5
31	92	5
37	93	5
44	94	5
93	95	5
71	96	5
62	97	5
68	98	5
72	99	5
68	100	5
19	0	6
24	1	6
27	2	6
42	3	6
51	4	6
93	5	6
36	6	6
39	7	6
50	8	6
57	9	6
44	10	6
54	11	6
95	12	6
50	13	6
69	14	6
58	15	6
65	16	6
49	17	6
40	18	6
17	19	6
41	20	6
67	21	6
99	22	6
67	23	6
59	24	6
35	25	6
41	26	6
42	27	6
50	28	6
36	29	6
43	30	6
25	31	6
39	32	6
49	33	6
7	34	6
41	35	6
11	36	6
63	37	6
57	38	6
37	39	6
21	40	6
23	41	6
49	42	6
15	43	6
26	44	6
52	45	6
67	46	6
60	47	6
53	48	6
45	49	6
45	50	6
46	51	6
35	52	6
37	53	6
57	54	6
51	55	6
59	56	6
55	57	6
43	58	6
15	59	6
29	60	6
15	61	6
83	62	6
41	63	6
39	64	6
48	65	6
51	66	6
59	67	6
43	68	6
27	69	6
9	70	6
3	71	6
53	72	6
51	73	6
95	74	6
47	75	6
71	76	6
83	77	6
42	78	6
39	79	6
33	80	6
81	81	6
17	82	6
41	83	6
79	84	6
71	85	6
89	86	6
58	87	6
42	88	6
21	89	6
57	90	6
69	91	6
43	92	6
31	93	6
3	94	6
60	95	6
67	96	6
65	97	6
69	98	6
85	99	6
67	100	6
20	0	7
22	1	7
24	2	7
25	3	7
35	4	7
46	5	7
7	6	7
43	7	7
69	8	7
93	9	7
15	10	7
15	11	7
7	12	7
38	13	7
52	14	7
47	15	7
97	16	7
41	17	7
47	18	7
49	19	7
75	20	7
52	21	7
45	22	7
19	23	7
52	24	7
54	25	7
40	26	7
11	27	7
30	28	7
36	29	7
79	30	7
29	31	7
7	32	7
55	33	7
71	34	7
53	35	7
39	36	7
91	37	7
5	38	7
48	39	7
75	40	7
5	41	7
43	42	7
61	43	7
5	44	7
27	45	7
61	46	7
61	47	7
59	48	7
34	49	7
34	50	7
25	51	7
41	52	7
43	53	7
43	54	7
29	55	7
45	56	7
46	57	7
41	58	7
95	59	7
51	60	7
34	61	7
35	62	7
31	63	7
13	64	7
85	65	7
54	66	7
48	67	7
63	68	7
51	69	7
39	70	7
22	71	7
46	72	7
71	73	7
81	74	7
69	75	7
95	76	7
63	77	7
13	78	7
51	79	7
79	80	7
67	81	7
51	82	7
91	83	7
79	84	7
60	85	7
17	86	7
41	87	7
42	88	7
41	89	7
73	90	7
46	91	7
43	92	7
42	93	7
46	94	7
79	95	7
69	96	7
63	97	7
59	98	7
49	99	7
49	100	7
19	0	8
20	1	8
23	2	8
27	3	8
33	4	8
50	5	8
89	6	8
58	7	8
39	8	8
58	9	8
39	10	8
33	11	8
34	12	8
44	13	8
54	14	8
47	15	8
68	16	8
66	17	8
60	18	8
59	19	8
67	20	8
21	21	8
44	22	8
36	23	8
77	24	8
91	25	8
55	26	8
25	27	8
23	28	8
1	29	8
39	30	8
45	31	8
49	32	8
93	33	8
37	34	8
62	35	8
69	36	8
43	37	8
43	38	8
77	39	8
65	40	8
36	41	8
47	42	8
97	43	8
7	44	8
1	45	8
7	46	8
65	47	8
34	48	8
1	49	8
32	50	8
25	51	8
63	52	8
52	53	8
42	54	8
38	55	8
45	56	8
42	57	8
37	58	8
57	59	8
48	60	8
36	61	8
17	62	8
37	63	8
20	64	8
1	65	8
35	66	8
15	67	8
47	68	8
39	69	8
77	70	8
1	71	8
38	72	8
59	73	8
93	74	8
70	75	8
73	76	8
64	77	8
61	78	8
75	79	8
83	80	8
59	81	8
49	82	8
56	83	8
67	84	8
75	85	8
69	86	8
47	87	8
43	88	8
39	89	8
38	90	8
1	91	8
39	92	8
48	93	8
60	94	8
59	95	8
59	96	8
57	97	8
57	98	8
5	99	8
31	100	8
18	0	9
15	1	9
22	2	9
25	3	9
23	4	9
33	5	9
62	6	9
60	7	9
